label,rss_before_mb,rss_after_mb,rss_peak_mb,rss_delta_mb,python_peak_mb,wall_seconds,raw_rows,file
ingest:sms-call-internet-mi-2013-12-09.txt,1572.7,1579.2,1621.7,6.5,49.0,2.22,5252874,sms-call-internet-mi-2013-12-09.txt
ingest:sms-call-internet-mi-2013-12-10.txt,1579.2,1580.5,1628.4,1.2,49.2,2.3,5455708,sms-call-internet-mi-2013-12-10.txt
ingest:sms-call-internet-mi-2013-12-11.txt,1580.5,1581.2,1629.8,0.7,49.3,2.32,5483990,sms-call-internet-mi-2013-12-11.txt
ingest:sms-call-internet-mi-2013-12-12.txt,1581.2,1581.6,1630.6,0.4,49.4,2.33,5538445,sms-call-internet-mi-2013-12-12.txt
ingest:sms-call-internet-mi-2013-12-13.txt,1581.6,1581.4,1630.8,-0.2,49.2,2.31,5467246,sms-call-internet-mi-2013-12-13.txt
ingest:sms-call-internet-mi-2013-12-14.txt,1581.4,1580.6,1630.5,-0.8,49.1,2.01,4634809,sms-call-internet-mi-2013-12-14.txt
ingest:sms-call-internet-mi-2013-12-15.txt,1580.6,1580.0,1629.2,-0.6,48.6,1.9,4412002,sms-call-internet-mi-2013-12-15.txt
ingest:sms-call-internet-mi-2013-12-16.txt,1580.0,1580.5,1629.0,0.5,49.0,2.25,5320759,sms-call-internet-mi-2013-12-16.txt
ingest:sms-call-internet-mi-2013-12-17.txt,1580.5,1581.3,1629.5,0.9,49.0,2.31,5476473,sms-call-internet-mi-2013-12-17.txt
ingest:sms-call-internet-mi-2013-12-18.txt,1581.3,1581.5,1630.6,0.1,49.2,2.31,5472133,sms-call-internet-mi-2013-12-18.txt
ingest:sms-call-internet-mi-2013-12-19.txt,1581.5,1582.2,1630.7,0.7,49.2,2.35,5572121,sms-call-internet-mi-2013-12-19.txt
ingest:sms-call-internet-mi-2013-12-20.txt,1582.2,1581.8,1631.3,-0.4,49.1,2.33,5410674,sms-call-internet-mi-2013-12-20.txt
ingest:sms-call-internet-mi-2013-12-21.txt,1581.8,1581.1,1630.7,-0.7,49.0,2.03,4705979,sms-call-internet-mi-2013-12-21.txt
ingest:sms-call-internet-mi-2013-12-22.txt,1581.1,1579.3,1629.8,-1.8,48.7,1.95,4482939,sms-call-internet-mi-2013-12-22.txt
ingest:sms-call-internet-mi-2013-12-23.txt,1579.3,1580.5,1628.2,1.2,48.8,2.15,4986627,sms-call-internet-mi-2013-12-23.txt
ingest:sms-call-internet-mi-2013-12-24.txt,1580.5,1580.5,1627.8,0.0,47.2,2.19,5014066,sms-call-internet-mi-2013-12-24.txt
ingest:sms-call-internet-mi-2013-12-25.txt,1580.5,1580.6,1626.3,0.0,45.7,2.11,4907775,sms-call-internet-mi-2013-12-25.txt
ingest:sms-call-internet-mi-2013-12-26.txt,1580.6,1533.3,1629.0,-47.2,48.5,1.91,4162680,sms-call-internet-mi-2013-12-26.txt
ingest:sms-call-internet-mi-2013-12-27.txt,1533.3,1450.9,1582.3,-82.5,49.0,2.02,4547803,sms-call-internet-mi-2013-12-27.txt
ingest:sms-call-internet-mi-2013-12-28.txt,1450.9,1371.8,1499.6,-79.0,48.7,1.99,4204331,sms-call-internet-mi-2013-12-28.txt
ingest:sms-call-internet-mi-2013-12-29.txt,1371.8,1363.9,1420.7,-7.9,48.9,1.8,4071711,sms-call-internet-mi-2013-12-29.txt
ingest:sms-call-internet-mi-2013-12-30.txt,1363.9,1363.9,1412.8,0.0,48.9,1.95,4508084,sms-call-internet-mi-2013-12-30.txt
ingest:sms-call-internet-mi-2013-12-31.txt,1363.9,1363.9,1410.4,0.0,46.5,2.1,4968039,sms-call-internet-mi-2013-12-31.txt
ingest:sms-call-internet-mi-2014-01-01.txt,1363.9,1363.9,1409.4,0.0,45.5,2.15,4930163,sms-call-internet-mi-2014-01-01.txt
